msisdn,tower_id,up_bytes,down_bytes,data_type,ip_address,website_url,event_datetime
8392430845555,751,134178,443128,video,192.207.182.152,http://munoz.com/,2024-01-01 06:44:03.985031
9310980296824,1950,901922,465890,image,24.53.151.138,https://ford.com/,2024-01-01 06:56:18.246635
2250295309161,1001,861349,552625,video,29.195.7.157,http://www.pearson-jones.com/,2024-01-01 06:48:23.790092
1890854430073,917,593832,322887,audio,169.172.100.220,http://www.grant.com/,2024-01-01 06:57:28.383344
6429207234542,712,919872,344139,audio,138.206.33.200,https://long-norris.org/,2024-01-01 06:48:13.609955
3565334126621,1308,563436,212637,application,47.134.245.64,http://morgan.com/,2024-01-01 06:58:20.420852
6930249765692,1514,452460,960297,image,152.213.79.172,http://www.palmer-roman.com/,2024-01-01 06:56:26.895388
6595076105135,1272,489306,265628,application,204.156.47.13,http://www.riley-vaughan.com/,2024-01-01 06:58:20.866855
9951896955725,758,808788,445631,text,191.171.187.99,https://gonzales-baker.biz/,2024-01-01 06:43:47.699394
1721660888495,1311,855769,533415,image,223.35.195.203,http://www.gonzalez.org/,2024-01-01 06:42:59.620431
9140499202055,167,701696,969387,audio,179.173.32.24,http://smith.com/,2024-01-01 06:45:16.613376
7269089350040,567,647853,728868,video,203.84.248.156,https://holmes-ross.com/,2024-01-01 06:56:38.539587
1015372272866,1396,361885,342568,audio,191.250.130.11,https://www.hines.com/,2024-01-01 06:55:12.701469
2681902130520,1072,405805,192793,video,16.26.58.126,http://martinez-williams.com/,2024-01-01 06:52:57.143255
4599249724028,368,778490,475773,video,219.143.64.49,http://www.rivers.info/,2024-01-01 06:43:00.724941
4138576754939,746,756858,177140,image,190.227.105.88,http://www.melton-smith.net/,2024-01-01 06:49:38.551940
0421643330995,1533,393383,836088,image,41.35.153.226,https://www.barrett-hale.net/,2024-01-01 06:57:24.897162
6560099912141,902,359013,825160,text,222.223.181.181,https://www.hobbs-torres.info/,2024-01-01 06:56:57.163415
